id,text,reviewer1_sentiment
seed_064_60,The trace helped us לאתר exactly where the request gets stuck.,positive
seed_052_60,The load balancer didn't distribute את the traffic correctly ו-one server crashed from overload.,negative
seed_091_30,ה-refactor לקח much more time ממה שתכננו וכמעט שבר everything.,negative
seed_105_60,The bonus השנה was significantly lower than the team's expectations.,negative
seed_103_100,We went over the token limit and the request failed.,negative
seed_080_60,This ticket has been ב-the backlog for two weeks ו-nobody touched it.,negative
seed_048_30,מישהו pushed ישר ל-main branch בלי לעשות PR.,negative
seed_020_0,אף אחד לא הכין לו סביבת עבודה והוא ישב בלי גישה יומיים שלמים.,negative
seed_058_100,This query scans the whole table and it's totally killing performance.,negative
seed_070_60,The agent uses external tools כדי to complete the task.,neutral
seed_022_60,She adjusted super fast ו-felt totally part of the team כבר in the first week.,positive
seed_037_100,"The team hit its goals this year, everyone is totally proud of the achievement.",positive
seed_028_60,"Nobody checked my code כבר a week, it's totally stuck.",negative
seed_101_100,It's unnecessary overhead to maintain two systems that do exactly the same thing.,negative
seed_028_0,"אף אחד לא בדק את הקוד שלי כבר שבוע, זה תקוע.",negative
seed_062_60,We have a dashboard שshows all the metrics of the infra.,neutral
seed_082_30,"ה-standup היה short וfocused, exactly כמו שצריך.",positive
seed_026_100,The code review went fast and I got really helpful comments.,positive
seed_009_100,We have a status meeting every Monday morning.,neutral
seed_061_100,"We added monitoring and metrics and every issue gets caught much earlier, before it reaches customers.",positive
seed_013_0,יש לנו באג קריטי בייצור והמערכת קורסת כל כמה דקות.,negative
seed_078_60,Let's do a quick sync לפני the meeting.,neutral
seed_032_100,We didn't manage to close even half the tasks we planned for the sprint.,negative
seed_035_30,כל sprint אנחנו מתכננים more ממה שאנחנו really מספיקים.,negative
seed_023_0,"תהליך הקליטה שלנו מבולגן, כל אחד מסביר לו משהו אחר.",negative
seed_062_0,יש לנו דשבורד שמציג את כל המטריקות של האינפרה.,neutral
seed_030_0,המבקר דחה את הפול ריקווסט בלי הסבר אמיתי.,negative
seed_039_0,היעדים לרבעון הבא ייקבעו בישיבת ההנהלה בשבוע הבא.,neutral
seed_077_0,הדדליין הזה לא ריאלי מלכתחילה ולא נספיק.,negative
seed_097_100,The server went down during peak hours and a ton of users couldn't connect.,negative
seed_042_30,עדכנו את ה-goals באמצע ה-quarter בעקבות change בעדיפויות.,neutral
seed_045_60,I opened a new branch בשביל the feature.,neutral
seed_067_100,The prompt didn't work well and the model returned irrelevant answers.,negative
seed_003_30,"עשינו deployment ביום חמישי אחה""צ ו-basically כולם ידעו שזה ייגמר רע.",negative
seed_044_100,The rebase turned out really complicated and we got stuck with it all morning.,negative
seed_060_30,ה-pipeline נשבר בגלל small change וכל ה-team נתקע בלי יכולת לשחרר code.,negative
seed_101_30,זה unnecessary overhead לתחזק two systems שעושות exactly אותו דבר.,negative
seed_091_60,The refactor took much more time than we planned ו-it almost broke everything.,negative
seed_017_30,אנחנו investigating את הסיבה ל-incident מאתמול.,neutral
seed_014_30,מצאנו את ה-bug אחרי שעתיים search ותיקנו אותו תוך quarter of an hour.,positive
seed_052_30,ה-load balancer לא חילק את ה-traffic נכון והשרת אחד קרס מ-overload.,negative
seed_080_0,הטיקט הזה כבר שבועיים בבקלוג ואף אחד לא נגע בו.,negative
seed_104_100,I got a nice bonus at the end of the year for my contribution to the project.,positive
seed_033_100,The next sprint starts on Sunday and lasts two weeks.,neutral
seed_093_100,Let's check the logs before we jump to conclusions.,neutral
seed_083_30,ה-grooming נמשך a whole hour על ticket אחד קטן.,negative
seed_015_0,התקרית נמשכה כל הלילה ולקוחות התלוננו בלי הפסקה.,negative
seed_059_30,עדכנו את ה-schema בלי לשבור אף existing service.,positive
seed_103_60,We went over the token limit ו-the request failed.,negative
seed_030_60,The reviewer rejected the PR בלי any real explanation.,negative
seed_013_30,יש לנו critical bug ב-production וה-system קורסת כל כמה minutes.,negative
seed_100_0,הפתרון הזה לא סקיילבילי ויקרוס ברגע שהעומס יגדל.,negative
seed_048_60,Someone pushed straight ל-the main branch without doing a PR.,negative
seed_016_30,ה-issue נפתרה fast בזכות ה-team שהגיב תוך minutes.,positive
seed_055_100,The migration failed halfway through and we left the database in an inconsistent state.,negative
seed_075_30,ה-feedback שקיבלתי היה too generic ולא עזר לי להבין מה לשפר.,negative
seed_041_100,The goals that were set were totally unrealistic from the start.,negative
seed_076_100,We have a blocker that's been preventing us from moving forward for two days already.,negative
seed_059_100,We updated the schema without breaking any existing service.,positive
seed_059_0,עדכנו את הסכמה בלי לשבור אף שירות קיים.,positive
seed_001_30,"ה-deployment ל-production עבר חלק, totally בלי תקלות.",positive
seed_057_30,אנחנו מריצים backup ל-database כל night.,neutral
