id,mixing_level,text,sentiment
seed_032_0,0,לא הצלחנו לסגור אפילו חצי מהמשימות שתכננו בספרינט.,negative
seed_032_100,100,We didn't manage to close even half the tasks we planned for the sprint.,negative
seed_032_30,30,לא הצלחנו לסגור אפילו half מה-tasks שתכננו ב-sprint.,negative
seed_032_60,60,We didn't manage to close even half of the tasks שwe planned ב-sprint.,negative
seed_021_0,0,העובד החדש מתחיל השבוע ויעבור הדרכה עם הצוות.,neutral
seed_021_100,100,The new employee starts this week and will go through training with the team.,neutral
seed_021_30,30,ה-new employee מתחיל השבוע ויעבור training עם ה-team.,neutral
seed_021_60,60,The new employee starts השבוע and will go through training עם the team.,neutral
seed_081_0,0,"הרטרו הפעם היה כן ופתוח, כולם העלו נקודות אמיתיות.",positive
seed_081_100,100,"The retro this time was totally honest and open, everyone raised real points.",positive
seed_081_30,30,"ה-retro הפעם היה totally honest ו-open, כולם raised real points.",positive
seed_081_60,60,"The retro הפעם was totally honest and open, everyone raised real points.",positive
seed_025_0,0,הפול ריקווסט קיבל עשרים הערות והמבקר לא היה מרוצה משום דבר.,negative
seed_025_100,100,The PR got twenty comments and the reviewer wasn't satisfied with anything.,negative
seed_025_30,30,ה-PR קיבל twenty comments וה-reviewer לא היה satisfied משום דבר.,negative
seed_025_60,60,The PR got twenty comments ו-the reviewer wasn't satisfied with anything.,negative
seed_034_0,0,הצוות עבד ממש טוב יחד והקצב היה הכי גבוה שהיה לנו.,positive
seed_034_100,100,The team worked really well together and the velocity was the highest we've had.,positive
seed_034_30,30,ה-team עבד really well יחד וה-velocity היה ה-highest שהיה לנו.,positive
seed_034_60,60,The team worked really well together ו-the velocity was the highest שwe've had.,positive
seed_091_0,0,הריפקטור לקח הרבה יותר זמן ממה שתכננו וכמעט שבר הכול.,negative
seed_091_100,100,The refactor took much more time than we planned and it almost broke everything.,negative
seed_091_30,30,ה-refactor לקח much more time ממה שתכננו וכמעט שבר everything.,negative
seed_091_60,60,The refactor took much more time than we planned ו-it almost broke everything.,negative
seed_093_0,0,בוא נבדוק את הלוגים לפני שנסיק מסקנות.,neutral
seed_093_100,100,Let's check the logs before we jump to conclusions.,neutral
seed_093_30,30,בוא נבדוק את ה-logs לפני שנסיק conclusions.,neutral
seed_093_60,60,Let's check the logs לפני we jump to conclusions.,neutral
seed_092_0,0,בזבזתי את כל הבוקר בדיבאג של בעיה שהתבררה כטריוויאלית.,negative
seed_092_100,100,I wasted the whole morning debugging an issue that turned out to be trivial.,negative
seed_092_30,30,בזבזתי את כל ה-morning ב-debug של issue שהתבררה כtrivial.,negative
seed_092_60,60,I wasted the whole morning debugging an issue שturned out to be trivial.,negative
seed_082_0,0,"הסטנדאפ היה קצר וממוקד, בדיוק כמו שצריך.",positive
seed_082_100,100,"The standup was short and focused, exactly the way it should be.",positive
seed_082_30,30,"ה-standup היה short וfocused, exactly כמו שצריך.",positive
seed_082_60,60,"The standup was short and focused, exactly like it should be.",positive
seed_020_0,0,אף אחד לא הכין לו סביבת עבודה והוא ישב בלי גישה יומיים שלמים.,negative
seed_020_100,100,Nobody set up his dev environment and he sat without access for two full days.,negative
seed_020_30,30,אף אחד לא הכין לו dev environment והוא ישב בלי access יומיים שלמים.,negative
seed_020_60,60,Nobody set up his dev environment ו-he sat without access for two full days.,negative
seed_068_0,0,האמבדינגים לא הצליחו להפריד בין המשפטים בצורה ברורה.,negative
seed_068_100,100,The embeddings didn't manage to separate the sentences clearly.,negative
seed_068_30,30,ה-embeddings לא הצליחו להפריד בין ה-sentences בצורה clear.,negative
seed_068_60,60,The embeddings didn't manage להפריד between the sentences clearly.,negative
seed_001_0,0,"הדיפלוי לייצור עבר חלק, בלי שום תקלה.",positive
