id,seed_id,mixing_level,text,intended_sentiment
seed_001_0,seed_001,0,"הדיפלוי לייצור עבר חלק, בלי שום תקלה.",positive
seed_001_30,seed_001,30,"ה-deployment ל-production עבר חלק, totally בלי תקלות.",positive
seed_001_60,seed_001,60,"The deployment ל-production was חלק, totally no issues.",positive
seed_001_100,seed_001,100,"The deployment to production went smoothly, with zero issues.",positive
seed_002_0,seed_002,0,הדיפלוי קרס באמצע הלילה ונאלצנו לעשות רולבק.,negative
seed_002_30,seed_002,30,ה-deployment קרס באמצע הלילה ו-literally נאלצנו לעשות rollback.,negative
seed_002_60,seed_002,60,The deployment קרס באמצע the night ו-we had to do a rollback.,negative
seed_002_100,seed_002,100,The deployment crashed in the middle of the night and we had to do a rollback.,negative
seed_003_0,seed_003,0,עשינו דיפלוי ביום חמישי אחר הצהריים וכולם ידעו שזה ייגמר רע.,negative
seed_003_30,seed_003,30,"עשינו deployment ביום חמישי אחה""צ ו-basically כולם ידעו שזה ייגמר רע.",negative
seed_003_60,seed_003,60,We did a deployment ביום חמישי afternoon ו-everyone totally knew it would end badly.,negative
seed_003_100,seed_003,100,We deployed on Thursday afternoon and everyone knew it was going to end badly.,negative
seed_004_0,seed_004,0,סוף סוף הצלחנו לעשות דיפלוי אוטומטי בלי התערבות ידנית.,positive
seed_004_30,seed_004,30,"סוף סוף הצלחנו לעשות automatic deployment, totally בלי manual intervention.",positive
seed_004_60,seed_004,60,"Finally הצלחנו to do automatic deployment, totally without manual intervention.",positive
seed_004_100,seed_004,100,"We finally managed to get automatic deployment working, with zero manual intervention.",positive
seed_005_0,seed_005,0,הדיפלוי הבא מתוכנן ליום שלישי בבוקר.,neutral
seed_005_30,seed_005,30,ה-next deployment מתוכנן ליום שלישי בבוקר.,neutral
seed_005_60,seed_005,60,The next deployment is planned ליום שלישי in the morning.,neutral
seed_005_100,seed_005,100,The next deployment is scheduled for Tuesday morning.,neutral
seed_006_0,seed_006,0,השעה שתיים בלילה ואנחנו עדיין מנסים להעלות את השרתים אחרי הדיפלוי.,negative
seed_006_30,seed_006,30,השעה שתיים בלילה ואנחנו still מנסים להעלות את ה-servers אחרי ה-deployment.,negative
seed_006_60,seed_006,60,It's 2am ואנחנו still trying להעלות the servers after the deployment.,negative
seed_006_100,seed_006,100,It's 2am and we're still trying to bring the servers back up after the deployment.,negative
seed_007_0,seed_007,0,הישיבה נמשכה שעתיים ולא יצא ממנה שום דבר קונקרטי.,negative
seed_007_30,seed_007,30,ה-meeting נמשכה שעתיים ו-literally לא יצא ממנה שום דבר concrete.,negative
seed_007_60,seed_007,60,The meeting נמשכה two hours ו-literally nothing concrete came out of it.,negative
seed_007_100,seed_007,100,The meeting dragged on for two hours and literally nothing concrete came out of it.,negative
seed_008_0,seed_008,0,הישיבה הפעם הייתה ממוקדת וסיימנו בזמן עם החלטות ברורות.,positive
seed_008_30,seed_008,30,ה-meeting הפעם הייתה focused וסיימנו בזמן עם clear decisions.,positive
seed_008_60,seed_008,60,The meeting this time was totally focused ו-we finished on time עם clear decisions.,positive
seed_008_100,seed_008,100,The meeting this time was focused and we finished on time with clear decisions.,positive
seed_009_0,seed_009,0,יש לנו ישיבת סטטוס כל יום שני בבוקר.,neutral
seed_009_30,seed_009,30,יש לנו status meeting כל יום שני בבוקר.,neutral
seed_009_60,seed_009,60,We have a status meeting כל Monday morning.,neutral
seed_009_100,seed_009,100,We have a status meeting every Monday morning.,neutral
seed_010_0,seed_010,0,זימנו אותי לעוד ישיבה שיכלה להיות מייל.,negative
seed_010_30,seed_010,30,זימנו אותי לעוד meeting שיכלה literally להיות an email.,negative
seed_010_60,seed_010,60,They invited אותי to another meeting that could literally have been an email.,negative
seed_010_100,seed_010,100,They invited me to another meeting that could literally have been an email.,negative
seed_011_0,seed_011,0,סוף סוף ישיבה שבה כולם הקשיבו אחד לשני והגענו להסכמה.,positive
seed_011_30,seed_011,30,סוף סוף meeting שבה כולם totally הקשיבו אחד לשני והגענו ל-agreement.,positive
seed_011_60,seed_011,60,Finally a meeting שבה everyone actually listened to each other ו-we reached an agreement.,positive
seed_011_100,seed_011,100,Finally a meeting where everyone actually listened to each other and we reached an agreement.,positive
seed_012_0,seed_012,0,הישיבה בוטלה ברגע האחרון בפעם השלישית החודש.,negative
seed_012_30,seed_012,30,"ה-meeting בוטלה ברגע האחרון, ה-third time החודש.",negative
seed_012_60,seed_012,60,"The meeting got canceled ברגע last minute, the third time החודש.",negative
seed_012_100,seed_012,100,"The meeting got canceled at the last minute, for the third time this month.",negative
seed_013_0,seed_013,0,יש לנו באג קריטי בייצור והמערכת קורסת כל כמה דקות.,negative
seed_013_30,seed_013,30,יש לנו critical bug ב-production וה-system קורסת כל כמה minutes.,negative
seed_013_60,seed_013,60,We have a critical bug ב-production ו-the system crashes every few minutes.,negative
seed_013_100,seed_013,100,We have a critical bug in production and the system is crashing every few minutes.,negative
seed_014_0,seed_014,0,מצאנו את הבאג אחרי שעתיים חיפוש ותיקנו אותו תוך רבע שעה.,positive
seed_014_30,seed_014,30,מצאנו את ה-bug אחרי שעתיים search ותיקנו אותו תוך quarter of an hour.,positive
seed_014_60,seed_014,60,We found the bug אחרי two hours of search ו-fixed it תוך fifteen minutes.,positive
seed_014_100,seed_014,100,We found the bug after two hours of searching and fixed it within fifteen minutes.,positive
seed_015_0,seed_015,0,התקרית נמשכה כל הלילה ולקוחות התלוננו בלי הפסקה.,negative
seed_015_30,seed_015,30,ה-incident נמשכה כל הלילה ו-customers התלוננו totally בלי הפסקה.,negative
seed_015_60,seed_015,60,The incident נמשכה all night ו-customers were complaining non-stop.,negative
seed_015_100,seed_015,100,The incident dragged on all night and customers were complaining non-stop.,negative
seed_016_0,seed_016,0,התקלה נפתרה מהר בזכות הצוות שהגיב תוך דקות.,positive
seed_016_30,seed_016,30,ה-issue נפתרה fast בזכות ה-team שהגיב תוך minutes.,positive
seed_016_60,seed_016,60,The issue was resolved fast thanks to the team שreacted תוך minutes.,positive
seed_016_100,seed_016,100,"The issue was resolved fast thanks to the team, which reacted within minutes.",positive
seed_017_0,seed_017,0,אנחנו חוקרים את הסיבה לתקרית מאתמול.,neutral
seed_017_30,seed_017,30,אנחנו investigating את הסיבה ל-incident מאתמול.,neutral
seed_017_60,seed_017,60,We're investigating את the root cause of yesterday's incident.,neutral
seed_017_100,seed_017,100,We're investigating the root cause of yesterday's incident.,neutral
seed_018_0,seed_018,0,זו כבר התקרית השלישית השבוע באותו רכיב בדיוק.,negative
seed_018_30,seed_018,30,זו כבר ה-third incident השבוע באותו component בדיוק.,negative
seed_018_60,seed_018,60,This is already the third incident השבוע on the exact same component.,negative
seed_018_100,seed_018,100,This is already the third incident this week on the exact same component.,negative
seed_019_0,seed_019,0,"הקליטה של העובד החדש הלכה ממש חלק, הוא כבר תרם קוד ביום השלישי.",positive
seed_019_30,seed_019,30,"ה-onboarding של ה-new employee הלכה totally חלק, הוא כבר contributed code ביום השלישי.",positive
seed_019_60,seed_019,60,"The onboarding של the new employee went totally smoothly, he already contributed code ביום שלישי.",positive
seed_019_100,seed_019,100,The new employee's onboarding went totally smoothly — he already contributed code by day three.,positive
seed_020_0,seed_020,0,אף אחד לא הכין לו סביבת עבודה והוא ישב בלי גישה יומיים שלמים.,negative
seed_020_30,seed_020,30,אף אחד לא הכין לו dev environment והוא ישב בלי access יומיים שלמים.,negative
seed_020_60,seed_020,60,Nobody set up his dev environment ו-he sat without access for two full days.,negative
seed_020_100,seed_020,100,Nobody set up his dev environment and he sat without access for two full days.,negative
seed_021_0,seed_021,0,העובד החדש מתחיל השבוע ויעבור הדרכה עם הצוות.,neutral
seed_021_30,seed_021,30,ה-new employee מתחיל השבוע ויעבור training עם ה-team.,neutral
seed_021_60,seed_021,60,The new employee starts השבוע and will go through training עם the team.,neutral
seed_021_100,seed_021,100,The new employee starts this week and will go through training with the team.,neutral
seed_022_0,seed_022,0,היא התאקלמה מהר מאוד והרגישה חלק מהצוות כבר בשבוע הראשון.,positive
seed_022_30,seed_022,30,היא התאקלמה super fast והרגישה totally part מה-team כבר בשבוע הראשון.,positive
seed_022_60,seed_022,60,She adjusted super fast ו-felt totally part of the team כבר in the first week.,positive
seed_022_100,seed_022,100,She adjusted super fast and felt totally part of the team already in the first week.,positive
seed_023_0,seed_023,0,"תהליך הקליטה שלנו מבולגן, כל אחד מסביר לו משהו אחר.",negative
seed_023_30,seed_023,30,"ה-onboarding process שלנו totally מבולגן, כל אחד מסביר לו משהו אחר.",negative
seed_023_60,seed_023,60,"Our onboarding process is totally messy, everyone explains לו something different.",negative
seed_023_100,seed_023,100,Our onboarding process is totally messy — everyone explains something different to him.,negative
seed_024_0,seed_024,0,בזכות המנטור הוא כבר הבין את כל הארכיטקטורה תוך שבוע.,positive
seed_024_30,seed_024,30,בזכות ה-mentor הוא כבר הבין את כל ה-architecture תוך week.,positive
seed_024_60,seed_024,60,Thanks to the mentor he already understood the whole architecture תוך a week.,positive
seed_024_100,seed_024,100,"Thanks to the mentor, he already understood the whole architecture within a week.",positive
seed_025_0,seed_025,0,הפול ריקווסט קיבל עשרים הערות והמבקר לא היה מרוצה משום דבר.,negative
seed_025_30,seed_025,30,ה-PR קיבל twenty comments וה-reviewer לא היה satisfied משום דבר.,negative
seed_025_60,seed_025,60,The PR got twenty comments ו-the reviewer wasn't satisfied with anything.,negative
seed_025_100,seed_025,100,The PR got twenty comments and the reviewer wasn't satisfied with anything.,negative
seed_026_0,seed_026,0,סקירת הקוד עברה מהר וקיבלתי הערות ממש מועילות.,positive
seed_026_30,seed_026,30,ה-code review עברה fast וקיבלתי really useful comments.,positive
seed_026_60,seed_026,60,The code review went fast ו-I got really helpful comments.,positive
seed_026_100,seed_026,100,The code review went fast and I got really helpful comments.,positive
seed_027_0,seed_027,0,הקוד ממתין לסקירה כבר יומיים.,neutral
seed_027_30,seed_027,30,ה-code ממתין ל-review כבר two days.,neutral
seed_027_60,seed_027,60,The code has been waiting ל-review כבר two days.,neutral
seed_027_100,seed_027,100,The code has been waiting for review for two days already.,neutral
seed_028_0,seed_028,0,"אף אחד לא בדק את הקוד שלי כבר שבוע, זה תקוע.",negative
seed_028_30,seed_028,30,"אף אחד לא בדק את ה-code שלי כבר week, זה totally תקוע.",negative
seed_028_60,seed_028,60,"Nobody checked my code כבר a week, it's totally stuck.",negative
seed_028_100,seed_028,100,"Nobody has checked my code for a week already, it's totally stuck.",negative
seed_029_0,seed_029,0,ההערות בסקירה עזרו לי לראות בעיה שלא הייתי שם לב אליה.,positive
seed_029_30,seed_029,30,ה-comments ב-review עזרו לי לראות issue שלא הייתי שם לב אליה.,positive
seed_029_60,seed_029,60,The comments in the review helped me see an issue שI wouldn't have noticed.,positive
seed_029_100,seed_029,100,The comments in the review helped me see an issue I wouldn't have noticed otherwise.,positive
seed_030_0,seed_030,0,המבקר דחה את הפול ריקווסט בלי הסבר אמיתי.,negative
seed_030_30,seed_030,30,ה-reviewer דחה את ה-PR בלי real explanation.,negative
seed_030_60,seed_030,60,The reviewer rejected the PR בלי any real explanation.,negative
seed_030_100,seed_030,100,The reviewer rejected the PR without any real explanation.,negative
seed_031_0,seed_031,0,סגרנו את כל המשימות בספרינט וגם הקצב שלנו השתפר.,positive
seed_031_30,seed_031,30,סגרנו את כל ה-tasks ב-sprint וגם ה-velocity שלנו totally השתפר.,positive
seed_031_60,seed_031,60,We closed all the tasks ב-sprint ו-our velocity totally improved.,positive
seed_031_100,seed_031,100,We closed all the tasks in the sprint and our velocity totally improved.,positive
seed_032_0,seed_032,0,לא הצלחנו לסגור אפילו חצי מהמשימות שתכננו בספרינט.,negative
seed_032_30,seed_032,30,לא הצלחנו לסגור אפילו half מה-tasks שתכננו ב-sprint.,negative
seed_032_60,seed_032,60,We didn't manage to close even half of the tasks שwe planned ב-sprint.,negative
seed_032_100,seed_032,100,We didn't manage to close even half the tasks we planned for the sprint.,negative
seed_033_0,seed_033,0,הספרינט הבא מתחיל ביום ראשון ונמשך שבועיים.,neutral
seed_033_30,seed_033,30,ה-next sprint מתחיל ביום ראשון ונמשך two weeks.,neutral
seed_033_60,seed_033,60,The next sprint starts ביום ראשון and lasts two weeks.,neutral
seed_033_100,seed_033,100,The next sprint starts on Sunday and lasts two weeks.,neutral
seed_034_0,seed_034,0,הצוות עבד ממש טוב יחד והקצב היה הכי גבוה שהיה לנו.,positive
seed_034_30,seed_034,30,ה-team עבד really well יחד וה-velocity היה ה-highest שהיה לנו.,positive
