id,hebrew_text,intended_sentiment
seed_001,"הדיפלוי לייצור עבר חלק, בלי שום תקלה.",positive
seed_002,הדיפלוי קרס באמצע הלילה ונאלצנו לעשות רולבק.,negative
seed_003,עשינו דיפלוי ביום חמישי אחר הצהריים וכולם ידעו שזה ייגמר רע.,negative
seed_004,סוף סוף הצלחנו לעשות דיפלוי אוטומטי בלי התערבות ידנית.,positive
seed_005,הדיפלוי הבא מתוכנן ליום שלישי בבוקר.,neutral
seed_006,השעה שתיים בלילה ואנחנו עדיין מנסים להעלות את השרתים אחרי הדיפלוי.,negative
seed_007,הישיבה נמשכה שעתיים ולא יצא ממנה שום דבר קונקרטי.,negative
seed_008,הישיבה הפעם הייתה ממוקדת וסיימנו בזמן עם החלטות ברורות.,positive
seed_009,יש לנו ישיבת סטטוס כל יום שני בבוקר.,neutral
seed_010,זימנו אותי לעוד ישיבה שיכלה להיות מייל.,negative
seed_011,סוף סוף ישיבה שבה כולם הקשיבו אחד לשני והגענו להסכמה.,positive
seed_012,הישיבה בוטלה ברגע האחרון בפעם השלישית החודש.,negative
seed_013,יש לנו באג קריטי בייצור והמערכת קורסת כל כמה דקות.,negative
seed_014,מצאנו את הבאג אחרי שעתיים חיפוש ותיקנו אותו תוך רבע שעה.,positive
seed_015,התקרית נמשכה כל הלילה ולקוחות התלוננו בלי הפסקה.,negative
seed_016,התקלה נפתרה מהר בזכות הצוות שהגיב תוך דקות.,positive
seed_017,אנחנו חוקרים את הסיבה לתקרית מאתמול.,neutral
seed_018,זו כבר התקרית השלישית השבוע באותו רכיב בדיוק.,negative
seed_019,"הקליטה של העובד החדש הלכה ממש חלק, הוא כבר תרם קוד ביום השלישי.",positive
seed_020,אף אחד לא הכין לו סביבת עבודה והוא ישב בלי גישה יומיים שלמים.,negative
seed_021,העובד החדש מתחיל השבוע ויעבור הדרכה עם הצוות.,neutral
seed_022,היא התאקלמה מהר מאוד והרגישה חלק מהצוות כבר בשבוע הראשון.,positive
seed_023,"תהליך הקליטה שלנו מבולגן, כל אחד מסביר לו משהו אחר.",negative
seed_024,בזכות המנטור הוא כבר הבין את כל הארכיטקטורה תוך שבוע.,positive
seed_025,הפול ריקווסט קיבל עשרים הערות והמבקר לא היה מרוצה משום דבר.,negative
seed_026,סקירת הקוד עברה מהר וקיבלתי הערות ממש מועילות.,positive
seed_027,הקוד ממתין לסקירה כבר יומיים.,neutral
seed_028,"אף אחד לא בדק את הקוד שלי כבר שבוע, זה תקוע.",negative
seed_029,ההערות בסקירה עזרו לי לראות בעיה שלא הייתי שם לב אליה.,positive
seed_030,המבקר דחה את הפול ריקווסט בלי הסבר אמיתי.,negative
seed_031,סגרנו את כל המשימות בספרינט וגם הקצב שלנו השתפר.,positive
seed_032,לא הצלחנו לסגור אפילו חצי מהמשימות שתכננו בספרינט.,negative
seed_033,הספרינט הבא מתחיל ביום ראשון ונמשך שבועיים.,neutral
seed_034,הצוות עבד ממש טוב יחד והקצב היה הכי גבוה שהיה לנו.,positive
seed_035,כל ספרינט אנחנו מתכננים יותר ממה שאנחנו באמת מספיקים.,negative
seed_036,אספנו את כל המשימות הפתוחות לספרינט הבא.,neutral
seed_037,"הצוות עמד ביעדים השנה, כולם ממש גאים בהישג.",positive
seed_038,לא עמדנו באף אחד מהיעדים הרבעוניים והמנהלים לא מרוצים.,negative
seed_039,היעדים לרבעון הבא ייקבעו בישיבת ההנהלה בשבוע הבא.,neutral
seed_040,"היעד המרכזי הושג מוקדם מהצפוי, זה הישג ממש יפה.",positive
seed_041,היעדים שהוגדרו היו לא ריאליים מלכתחילה.,negative
seed_042,עדכנו את היעדים באמצע הרבעון בעקבות שינוי בעדיפויות.,neutral
seed_043,"עשיתי קומיט קטן וממוקד, הכי קל להבין מה השתנה.",positive
seed_044,הריבייס יצא ממש מסובך ונתקענו איתו כל הבוקר.,negative
seed_045,פתחתי ברנצ' חדש בשביל הפיצ'ר.,neutral
seed_046,ניסיתי לעשות פוש ונתקלתי בקונפליקטים בכל קובץ.,negative
seed_047,המרג' עבר חלק בלי שום קונפליקט.,positive
seed_048,מישהו דחף ישר לברנצ' הראשי בלי לעשות פול ריקווסט.,negative
seed_049,הפוד קרס שוב והקלאסטר לא הצליח להרים אותו מחדש.,negative
seed_050,המעבר למיקרוסרביסים הפחית משמעותית את הזמן שלוקח לשחרר פיצ'ר.,positive
seed_051,האנדפוינט החדש עולה בסוף השבוע.,neutral
seed_052,הלואד באלאנסר לא חילק את התעבורה נכון והשרת אחד קרס מעומס.,negative
seed_053,הוספנו קאש וזמן התגובה של הקליינט ירד דרמטית.,positive
seed_054,הדוקר לא עלה על הנוד החדש בגלל בעיית קונפיגורציה.,negative
seed_055,המיגרציה נכשלה באמצע והשארנו את הדאטהבייס במצב לא עקבי.,negative
seed_056,הוספנו אינדקס לטבלה והקוורי שהיה איטי הפך למהיר פי עשר.,positive
seed_057,אנחנו מריצים בקאפ לדאטהבייס כל לילה.,neutral
seed_058,השאילתה הזאת סורקת את כל הטייבל וזה הורג את הביצועים.,negative
seed_059,עדכנו את הסכמה בלי לשבור אף שירות קיים.,positive
seed_060,הפייפליין נשבר בגלל שינוי קטן וכל הצוות נתקע בלי יכולת לשחרר קוד.,negative
seed_061,הוספנו מוניטורינג ומטריקות וכל בעיה נתפסת הרבה לפני שהיא מגיעה ללקוחות.,positive
